index	name	abbreviation	color
288	Agranular insular area, posterior part, layer 5	AIp5	219864
289	Agranular insular area, posterior part, layer 6a	AIp6a	209766
290	Agranular insular area, posterior part, layer 6b	AIp6b	219666
291	Agranular insular area, ventral part	AIv	209866
292	Agranular insular area, ventral part, layer 1	AIv1	209864
293	Agranular insular area, ventral part, layer 2/3	AIv2/3	219764
294	Agranular insular area, ventral part, layer 5	AIv5	1F9865
295	Agranular insular area, ventral part, layer 6a	AIv6a	1F9866
296	Agranular insular area, ventral part, layer 6b	AIv6b	219665
297	Retrosplenial area	RSP	1AA698
298	Retrosplenial area, lateral agranular part	RSPagl	1BA497
299	Retrosplenial area, lateral agranular part, layer 1	RSPagl1	1BA696
300	Retrosplenial area, lateral agranular part, layer 2/3	RSPagl2/3	1AA496
301	Retrosplenial area, lateral agranular part, layer 5	RSPagl5	1CA697
302	Retrosplenial area, lateral agranular part, layer 6a	RSPagl6a	1CA597
303	Retrosplenial area, lateral agranular part, layer 6b	RSPagl6b	1AA598
304	Mediomedial anterior visual area	VISmma	1CA696
305	Mediomedial anterior visual area, layer 1	VISmma1	1CA498
306	Mediomedial anterior visual area, layer 2/3	VISmma2/3	1AA695
307	Mediomedial anterior visual area, layer 4	VISmma4	1AA398
308	Mediomedial anterior visual area,layer 5	VISmma5	1BA496
309	Mediomedial anterior visual area, layer 6a	VISmma6a	1CA596
310	Mediomedial anterior visual area, layer 6b	VISmma6b	1CA497
311	Mediomedial posterior visual area	VISmmp	1DA698
312	Mediomedial posterior visual area, layer 1	VISmmp1	1AA595
313	Mediomedial posterior visual area, layer 2/3	VISmmp2/3	1AA397
314	Mediomedial posterior visual area, layer 4	VISmmp4	1BA695
315	Mediomedial posterior visual area,layer 5	VISmmp5	1BA398
316	Mediomedial posterior visual area, layer 6a	VISmmp6a	1DA697
317	Mediomedial posterior visual area, layer 6b	VISmmp6b	1DA598
318	Medial visual area	VISm	1BA595
319	Medial visual area, layer 1	VISm1	1BA397
320	Medial visual area, layer 2/3	VISm2/3	1DA597
321	Medial visual area, layer 4	VISm4	1CA496
322	Medial visual area,layer 5	VISm5	1AA495
323	Medial visual area, layer 6a	VISm6a	1AA396
324	Medial visual area, layer 6b	VISm6b	1CA695
325	Retrosplenial area, dorsal part	RSPd	1CA598
326	Retrosplenial area, dorsal part, layer 1	RSPd1	1BA598
327	Retrosplenial area, dorsal part, layer 2/3	RSPd2/3	1BA697
328	Retrosplenial area, dorsal part, layer 4	RSPd4	1AA696
329	Retrosplenial area, dorsal part, layer 5	RSPd5	1AA596
330	Retrosplenial area, dorsal part, layer 6a	RSPd6a	1AA697
331	Retrosplenial area, dorsal part, layer 6b	RSPd6b	1BA698
332	Retrosplenial area, ventral part	RSPv	1BA596
333	Retrosplenial area, ventral part, layer 1	RSPv1	1BA597
334	Retrosplenial area, ventral part, layer 2	RSPv2	1CA698
335	Retrosplenial area, ventral part, layer 2/3	RSPv2/3	1AA597
336	Retrosplenial area, ventral part, layer 5	RSPv5	1BA498
337	Retrosplenial area, ventral part, layer 6a	RSPv6a	1AA498
338	Retrosplenial area, ventral part, layer 6b	RSPv6b	1AA497
339	Posterior parietal association areas	PTLp	009FAC
340	Posterior parietal association areas, layer 1	PTLp1	009DAB
341	Posterior parietal association areas, layer 2/3	PTLp2/3	009EAC
342	Posterior parietal association areas, layer 4	PTLp4	019FAA
343	Posterior parietal association areas, layer 5	PTLp5	019DAC
344	Posterior parietal association areas, layer 6a	PTLp6a	019FAB
345	Posterior parietal association areas, layer 6b	PTLp6b	009FAA
346	Anterior area	VISa	009FAB
347	Anterior area, layer 1	VISa1	019FAC
348	Anterior area, layer 2/3	VISa2/3	009EAB
349	Anterior area, layer 4	VISa4	019EAC
350	Anterior area, layer 5	VISa5	019EAB
351	Anterior area, layer 6a	VISa6a	009DAC
352	Anterior area, layer 6b	VISa6b	029FAC
353	Rostrolateral visual area	VISrl	009EAA
354	Rostrolateral area, layer 1	VISrl1	029FAB
355	Rostrolateral area, layer 2/3	VISrl2/3	029EAC
356	Rostrolateral area, layer 4	VISrl4	019EAA
357	Rostrolateral area, layer 5	VISrl5	019DAB
358	Rostrolateral area, layer 6a	VISrl6a	029EAB
359	Rostrolateral area, layer 6b	VISrl6b	009DAA
360	Temporal association areas	TEa	16B0B3
361	Temporal association areas, layer 1	TEa1	15B0B3
362	Temporal association areas, layer 2/3	TEa2/3	16AFB3
363	Temporal association areas, layer 4	TEa4	15B0B2
364	Temporal association areas, layer 5	TEa5	15AFB3
365	Temporal association areas, layer 6a	TEa6a	15AFB2
366	Temporal association areas, layer 6b	TEa6b	16B0B2
367	Perirhinal area	PERI	0F9683
368	Perirhinal area, layer 1	PERI1	0E9584
369	Perirhinal area, layer 2/3	PERI2/3	0E9583
370	Perirhinal area, layer 5	PERI5	0F9684
371	Perirhinal area, layer 6a	PERI6a	0E9684
372	Perirhinal area, layer 6b	PERI6b	0E9683
373	Ectorhinal area	ECT	0D9E91
374	Ectorhinal area/Layer 1	ECT1	0D9F90
375	Ectorhinal area/Layer 2/3	ECT2/3	0D9F91
376	Ectorhinal area/Layer 5	ECT5	0D9E90
377	Ectorhinal area/Layer 6a	ECT6a	0E9F91
378	Ectorhinal area/Layer 6b	ECT6b	0E9F90
379	Olfactory areas	OLF	99D2BD
380	Main olfactory bulb	MOB	9AD1BD
381	Main olfactory bulb, glomerular layer	MOBgl	82C7AE
382	Main olfactory bulb, granule layer	MOBgr	82C7AD
383	Main olfactory bulb, inner plexiform layer	MOBipl	9AD2BD
384	Main olfactory bulb, mitral layer	MOBmi	82C6AE
385	Main olfactory bulb, outer plexiform layer	MOBopl	9AD2BC
386	Accessory olfactory bulb	AOB	9DF0D2
387	Accessory olfactory bulb, glomerular layer	AOBgl	9DF0D1
388	Accessory olfactory bulb, granular layer	AOBgr	95E4C8
389	Accessory olfactory bulb, mitral layer	AOBmi	9DEFD2
390	Anterior olfactory nucleus	AON	54BF94
391	Anterior olfactory nucleus, dorsal part	AONd	54BE94
392	Anterior olfactory nucleus, external part	AONe	54BE93
393	Anterior olfactory nucleus, lateral part	AONl	53BF93
394	Anterior olfactory nucleus, medial part	AONm	53BE94
395	Anterior olfactory nucleus, posteroventral part	AONpv	53BE93
396	Anterior olfactory nucleus, layer 1	AON1	54BF93
397	Anterior olfactory nucleus, layer 2	AON2	53BF94
398	Taenia tecta	TT	62CF9F
399	Taenia tecta, dorsal part	TTd	61D09F
400	Taenia tecta, dorsal part, layers 1-4	TTd1-4	62D09F
401	Taenia tecta, dorsal part, layer 1	TTd1	61D09E
402	Taenia tecta, dorsal part, layer 2	TTd2	61CF9F
403	Taenia tecta, dorsal part, layer 3	TTd3	61CF9E
404	Taenia tecta, dorsal part, layer 4	TTd4	62D09D
405	Taenia tecta, ventral part	TTv	62CF9E
406	Taenia tecta, ventral part, layers 1-3	TTv1-3	62D09E
407	Taenia tecta, ventral part, layer 1	TTv1	62CE9F
408	Taenia tecta, ventral part, layer 2	TTv2	60D09F
409	Taenia tecta, ventral part, layer 3	TTv3	62CF9D
410	Dorsal peduncular area	DP	A3DAA3
411	Dorsal peduncular area, layer 1	DP1	A4D9A4
412	Dorsal peduncular area, layer 2	DP2	A3DAA4
413	Dorsal peduncular area, layer 2/3	DP2/3	A4DAA3
414	Dorsal peduncular area, layer 5	DP5	A4D9A3
415	Dorsal peduncular area, layer 6a	DP6a	A4DAA4
416	Piriform area	PIR	6ACAB9
417	Piriform area, layers 1-3	PIR1-3	6ACBBA
418	Piriform area, molecular layer	PIR1	6ACBB9
419	Piriform area, pyramidal layer	PIR2	6ACABA
420	Piriform area, polymorph layer	PIR3	69CBBA
421	Nucleus of the lateral olfactory tract	NLOT	95E3C7
422	Nucleus of the lateral olfactory tract, layers 1-3	NLOT1-3	94E4C8
423	Nucleus of the lateral olfactory tract, molecular layer	NLOT1	95E4C7
424	Nucleus of the lateral olfactory tract, pyramidal layer	NLOT2	95E3C8
425	Nucleus of the lateral olfactory tract, layer 3	NLOT3	94E4C7
426	Cortical amygdalar area	COA	60E7B5
427	Cortical amygdalar area, anterior part	COAa	60E5B7
428	Cortical amygdalar area, anterior part, layer 1	COAa1	61E7B7
429	Cortical amygdalar area, anterior part, layer 2	COAa2	61E7B6
430	Cortical amygdalar area, anterior part, layer 3	COAa3	61E6B7
431	Cortical amygdalar area, posterior part	COAp	5FE7B6
432	Cortical amygdalar area, posterior part, lateral zone	COApl	5FE6B7
433	Cortical amygdalar area, posterior part, lateral zone, layers 1-2	COApl1-2	61E6B5
434	Cortical amygdalar area, posterior part, lateral zone, layers 1-3	COApl1-3	61E5B7
435	Cortical amygdalar area, posterior part, lateral zone, layer 1	COApl1	60E7B7
436	Cortical amygdalar area, posterior part, lateral zone, layer 2	COApl2	61E6B6
437	Cortical amygdalar area, posterior part, lateral zone, layer 3	COApl3	60E7B6
438	Cortical amygdalar area, posterior part, medial zone	COApm	60E6B5
439	Cortical amygdalar area, posterior part, medial zone, layers 1-2	COApm1-2	61E5B6
440	Cortical amygdalar area, posterior part, medial zone, layers 1-3	COApm1-3	5FE7B7
441	Cortical amygdalar area, posterior part, medial zone, layer 1	COApm1	60E6B7
442	Cortical amygdalar area, posterior part, medial zone, layer 2	COApm2	60E6B6
443	Cortical amygdalar area, posterior part, medial zone, layer 3	COApm3	61E7B5
444	Piriform-amygdalar area	PAA	59D9AA
445	Piriform-amygdalar area, layers 1-3	PAA1-3	59DAAB
446	Piriform-amygdalar area, molecular layer	PAA1	59DAAA
447	Piriform-amygdalar area, pyramidal layer	PAA2	59D9AB
448	Piriform-amygdalar area, polymorph layer	PAA3	58DAAB
449	Postpiriform transition area	TR	A8ECD2
450	Postpiriform transition area, layers 1-3	TR1-3	A8ECD3
451	Postpiriform transition area, layers 1	TR1	A8EBD3
452	Postpiriform transition area, layers 2	TR2	A7ECD3
453	Postpiriform transition area, layers 3	TR3	A8EBD2
454	Hippocampal formation	HPF	7DCD4B
455	Hippocampal region	HIP	7DD048
456	Ammon's horn	CA	7ED04A
457	Field CA1	CA1	7ECF4B
458	Field CA1, stratum lacunosum-moleculare	CA1slm	7DD04B
459	Field CA1, stratum oriens	CA1so	7ECF4A
460	Field CA1, pyramidal layer	CA1sp	66A83D
461	Field CA1, stratum radiatum	CA1sr	7DD04A
462	Field CA2	CA2	7DCF4B
463	Field CA2, stratum lacunosum-moleculare	CA2slm	7DCF4A
464	Field CA2, stratum oriens	CA2so	7ED049
465	Field CA2, pyramidal layer	CA2sp	66A83C
466	Field CA2, stratum radiatum	CA2sr	7ECE4B
467	Field CA3	CA3	7ECF49
468	Field CA3, stratum lacunosum-moleculare	CA3slm	7DD049
469	Field CA3, stratum lucidum	CA3slu	7DCE4B
