name	abbreviation	index
L_Red nucleus	L_RN	417
R_Red nucleus	R_RN	418
L_Oculomotor nucleus	L_III	419
R_Oculomotor nucleus	R_III	420
L_Medial accesory oculomotor nucleus	L_MA3	421
R_Medial accesory oculomotor nucleus	R_MA3	422
L_Edinger-Westphal nucleus	L_EW	423
R_Edinger-Westphal nucleus	R_EW	424
L_Trochlear nucleus	L_IV	425
R_Trochlear nucleus	R_IV	426
L_Paratrochlear nucleus	L_Pa4	427
R_Paratrochlear nucleus	R_Pa4	428
L_Ventral tegmental nucleus	L_VTN	429
R_Ventral tegmental nucleus	R_VTN	430
L_Anterior tegmental nucleus	L_AT	431
R_Anterior tegmental nucleus	R_AT	432
L_Lateral terminal nucleus of the accessory optic tract	L_LT	433
R_Lateral terminal nucleus of the accessory optic tract	R_LT	434
L_Dorsal terminal nucleus of the accessory optic tract	L_DT	435
R_Dorsal terminal nucleus of the accessory optic tract	R_DT	436
L_Medial terminal nucleus of the accessory optic tract	L_MT	437
R_Medial terminal nucleus of the accessory optic tract	R_MT	438
"L_Substantia nigra	 compact part"	L_SNc	439
"R_Substantia nigra	 compact part"	R_SNc	440
L_Pedunculopontine nucleus	L_PPN	441
R_Pedunculopontine nucleus	R_PPN	442
L_Interfascicular nucleus raphe	L_IF	443
R_Interfascicular nucleus raphe	R_IF	444
L_Interpeduncular nucleus	L_IPN	445
R_Interpeduncular nucleus	R_IPN	446
L_Rostral linear nucleus raphe	L_RL	447
R_Rostral linear nucleus raphe	R_RL	448
L_Central linear nucleus raphe	L_CLI	449
R_Central linear nucleus raphe	R_CLI	450
L_Dorsal nucleus raphe	L_DR	451
R_Dorsal nucleus raphe	R_DR	452
L_Nucleus of the lateral lemniscus	L_NLL	453
R_Nucleus of the lateral lemniscus	R_NLL	454
L_Principal sensory nucleus of the trigeminal	L_PSV	455
R_Principal sensory nucleus of the trigeminal	R_PSV	456
L_Parabrachial nucleus	L_PB	457
R_Parabrachial nucleus	R_PB	458
L_Superior olivary complex	L_SOC	459
R_Superior olivary complex	R_SOC	460
L_Barrington's nucleus	L_B	461
R_Barrington's nucleus	R_B	462
L_Dorsal tegmental nucleus	L_DTN	463
R_Dorsal tegmental nucleus	R_DTN	464
L_Posterodorsal tegmental nucleus	L_PDTg	465
R_Posterodorsal tegmental nucleus	R_PDTg	466
L_Pontine central gray	L_PCG	467
R_Pontine central gray	R_PCG	468
L_Pontine gray	L_PG	469
R_Pontine gray	R_PG	470
"L_Pontine reticular nucleus	 caudal part"	L_PRNc	471
"R_Pontine reticular nucleus	 caudal part"	R_PRNc	472
L_Supragenual nucleus	L_SG	473
R_Supragenual nucleus	R_SG	474
L_Supratrigeminal nucleus	L_SUT	475
R_Supratrigeminal nucleus	R_SUT	476
L_Tegmental reticular nucleus	L_TRN	477
R_Tegmental reticular nucleus	R_TRN	478
L_Motor nucleus of trigeminal	L_V	479
R_Motor nucleus of trigeminal	R_V	480
L_Peritrigeminal zone	L_P5	481
R_Peritrigeminal zone	R_P5	482
L_Accessory trigeminal nucleus	L_Acs5	483
R_Accessory trigeminal nucleus	R_Acs5	484
L_Parvicellular motor 5 nucleus	L_PC5	485
R_Parvicellular motor 5 nucleus	R_PC5	486
L_Intertrigeminal nucleus	L_I5	487
R_Intertrigeminal nucleus	R_I5	488
L_Superior central nucleus raphe	L_CS	489
R_Superior central nucleus raphe	R_CS	490
L_Locus ceruleus	L_LC	491
R_Locus ceruleus	R_LC	492
L_Laterodorsal tegmental nucleus	L_LDT	493
R_Laterodorsal tegmental nucleus	R_LDT	494
L_Nucleus incertus	L_NI	495
R_Nucleus incertus	R_NI	496
L_Pontine reticular nucleus	L_PRNr	497
R_Pontine reticular nucleus	R_PRNr	498
L_Nucleus raphe pontis	L_RPO	499
R_Nucleus raphe pontis	R_RPO	500
L_Subceruleus nucleus	L_SLC	501
R_Subceruleus nucleus	R_SLC	502
L_Sublaterodorsal nucleus	L_SLD	503
R_Sublaterodorsal nucleus	R_SLD	504
L_Area postrema	L_AP	505
R_Area postrema	R_AP	506
L_Dorsal cochlear nucleus	L_DCO	507
R_Dorsal cochlear nucleus	R_DCO	508
L_Ventral cochlear nucleus	L_VCO	509
R_Ventral cochlear nucleus	R_VCO	510
L_Cuneate nucleus	L_CU	511
R_Cuneate nucleus	R_CU	512
L_Gracile nucleus	L_GR	513
R_Gracile nucleus	R_GR	514
L_External cuneate nucleus	L_ECU	515
R_External cuneate nucleus	R_ECU	516
L_Nucleus of the trapezoid body	L_NTB	517
R_Nucleus of the trapezoid body	R_NTB	518
L_Nucleus of the solitary tract	L_NTS	519
R_Nucleus of the solitary tract	R_NTS	520
"L_Spinal nucleus of the trigeminal	 caudal part"	L_SPVC	521
"R_Spinal nucleus of the trigeminal	 caudal part"	R_SPVC	522
"L_Spinal nucleus of the trigeminal	 interpolar part"	L_SPVI	523
"R_Spinal nucleus of the trigeminal	 interpolar part"	R_SPVI	524
"L_Spinal nucleus of the trigeminal	 oral part"	L_SPVO	525
"R_Spinal nucleus of the trigeminal	 oral part"	R_SPVO	526
L_Paratrigeminal nucleus	L_Pa5	527
R_Paratrigeminal nucleus	R_Pa5	528
L_Abducens nucleus	L_VI	529
R_Abducens nucleus	R_VI	530
L_Facial motor nucleus	L_VII	531
R_Facial motor nucleus	R_VII	532
L_Accessory facial motor nucleus	L_ACVII	533
R_Accessory facial motor nucleus	R_ACVII	534
L_Nucleus ambiguus	L_AMB	535
R_Nucleus ambiguus	R_AMB	536
L_Dorsal motor nucleus of the vagus nerve	L_DMX	537
R_Dorsal motor nucleus of the vagus nerve	R_DMX	538
L_Gigantocellular reticular nucleus	L_GRN	539
R_Gigantocellular reticular nucleus	R_GRN	540
L_Infracerebellar nucleus	L_ICB	541
R_Infracerebellar nucleus	R_ICB	542
L_Inferior olivary complex	L_IO	543
R_Inferior olivary complex	R_IO	544
L_Intermediate reticular nucleus	L_IRN	545
R_Intermediate reticular nucleus	R_IRN	546
L_Inferior salivatory nucleus	L_ISN	547
