index	name	color
1692	Orbital area, lateral part, layer 2/3 Right	78ff00
1701	Orbital area, lateral part, layer 5 Left	76ff00
1702	Orbital area, lateral part, layer 5 Right	76ff00
1711	Orbital area, lateral part, layer 6a Left	73ff00
1712	Orbital area, lateral part, layer 6a Right	73ff00
1721	Orbital area, lateral part, layer 6b Left	71ff00
1722	Orbital area, lateral part, layer 6b Right	71ff00
1731	Orbital area, medial part, layer 1 Left	6fff00
1732	Orbital area, medial part, layer 1 Right	6fff00
1741	Orbital area, medial part, layer 2/3 Left	6cff00
1742	Orbital area, medial part, layer 2/3 Right	6cff00
1751	Orbital area, medial part, layer 5 Left	6aff00
1752	Orbital area, medial part, layer 5 Right	6aff00
1761	Orbital area, medial part, layer 6a Left	68ff00
1762	Orbital area, medial part, layer 6a Right	68ff00
1771	Orbital area, medial part, layer 6b Left	65ff00
1772	Orbital area, medial part, layer 6b Right	65ff00
1781	Orbital area, ventrolateral part, layer 1 Left	63ff00
1782	Orbital area, ventrolateral part, layer 1 Right	63ff00
1791	Orbital area, ventrolateral part, layer 2/3 Left	61ff00
1792	Orbital area, ventrolateral part, layer 2/3 Right	61ff00
1801	Orbital area, ventrolateral part, layer 5 Left	5eff00
1802	Orbital area, ventrolateral part, layer 5 Right	5eff00
1811	Orbital area, ventrolateral part, layer 6a Left	5cff00
1812	Orbital area, ventrolateral part, layer 6a Right	5cff00
1821	Orbital area, ventrolateral part, layer 6b Left	5aff00
1822	Orbital area, ventrolateral part, layer 6b Right	5aff00
1831	Agranular insular area, dorsal part, layer 1 Left	57ff00
1832	Agranular insular area, dorsal part, layer 1 Right	57ff00
1841	Agranular insular area, dorsal part, layer 2/3 Left	55ff00
1842	Agranular insular area, dorsal part, layer 2/3 Right	55ff00
1851	Agranular insular area, dorsal part, layer 5 Left	53ff00
1852	Agranular insular area, dorsal part, layer 5 Right	53ff00
1861	Agranular insular area, dorsal part, layer 6a Left	50ff00
1862	Agranular insular area, dorsal part, layer 6a Right	50ff00
1871	Agranular insular area, dorsal part, layer 6b Left	4eff00
1872	Agranular insular area, dorsal part, layer 6b Right	4eff00
1881	Agranular insular area, posterior part, layer 1 Left	4cff00
1882	Agranular insular area, posterior part, layer 1 Right	4cff00
1891	Agranular insular area, posterior part, layer 2/3 Left	4aff00
1892	Agranular insular area, posterior part, layer 2/3 Right	4aff00
1901	Agranular insular area, posterior part, layer 5 Left	47ff00
1902	Agranular insular area, posterior part, layer 5 Right	47ff00
1911	Agranular insular area, posterior part, layer 6a Left	45ff00
1912	Agranular insular area, posterior part, layer 6a Right	45ff00
1921	Agranular insular area, posterior part, layer 6b Left	43ff00
1922	Agranular insular area, posterior part, layer 6b Right	43ff00
1931	Agranular insular area, ventral part, layer 1 Left	40ff00
1932	Agranular insular area, ventral part, layer 1 Right	40ff00
1941	Agranular insular area, ventral part, layer 2/3 Left	3eff00
1942	Agranular insular area, ventral part, layer 2/3 Right	3eff00
1951	Agranular insular area, ventral part, layer 5 Left	3cff00
1952	Agranular insular area, ventral part, layer 5 Right	3cff00
1961	Agranular insular area, ventral part, layer 6a Left	39ff00
1962	Agranular insular area, ventral part, layer 6a Right	39ff00
1971	Agranular insular area, ventral part, layer 6b Left	37ff00
1972	Agranular insular area, ventral part, layer 6b Right	37ff00
1981	Retrosplenial area, lateral agranular part, layer 1 Left	35ff00
1982	Retrosplenial area, lateral agranular part, layer 1 Right	35ff00
1991	Retrosplenial area, lateral agranular part, layer 2/3 Left	32ff00
1992	Retrosplenial area, lateral agranular part, layer 2/3 Right	32ff00
2001	Retrosplenial area, lateral agranular part, layer 5 Left	30ff00
2002	Retrosplenial area, lateral agranular part, layer 5 Right	30ff00
2011	Retrosplenial area, lateral agranular part, layer 6a Left	2eff00
2012	Retrosplenial area, lateral agranular part, layer 6a Right	2eff00
2021	Retrosplenial area, lateral agranular part, layer 6b Left	2bff00
2022	Retrosplenial area, lateral agranular part, layer 6b Right	2bff00
2031	Retrosplenial area, dorsal part, layer 1 Left	29ff00
2032	Retrosplenial area, dorsal part, layer 1 Right	29ff00
2041	Retrosplenial area, dorsal part, layer 2/3 Left	27ff00
2042	Retrosplenial area, dorsal part, layer 2/3 Right	27ff00
2051	Retrosplenial area, dorsal part, layer 5 Left	24ff00
2052	Retrosplenial area, dorsal part, layer 5 Right	24ff00
2061	Retrosplenial area, dorsal part, layer 6a Left	22ff00
2062	Retrosplenial area, dorsal part, layer 6a Right	22ff00
2071	Retrosplenial area, dorsal part, layer 6b Left	20ff00
2072	Retrosplenial area, dorsal part, layer 6b Right	20ff00
2081	Retrosplenial area, ventral part, layer 1 Left	1dff00
2082	Retrosplenial area, ventral part, layer 1 Right	1dff00
2091	Retrosplenial area, ventral part, layer 2/3 Left	1bff00
2092	Retrosplenial area, ventral part, layer 2/3 Right	1bff00
2101	Retrosplenial area, ventral part, layer 5 Left	19ff00
2102	Retrosplenial area, ventral part, layer 5 Right	19ff00
2111	Retrosplenial area, ventral part, layer 6a Left	16ff00
2112	Retrosplenial area, ventral part, layer 6a Right	16ff00
2121	Retrosplenial area, ventral part, layer 6b Left	14ff00
2122	Retrosplenial area, ventral part, layer 6b Right	14ff00
2131	Anterior visual area, layer 1 Left	12ff00
2132	Anterior visual area, layer 1 Right	12ff00
2141	Anterior visual area, layer 2/3 Left	0fff00
2142	Anterior visual area, layer 2/3 Right	0fff00
2151	Anterior visual area, layer 4 Left	0dff00
2152	Anterior visual area, layer 4 Right	0dff00
2161	Anterior visual area, layer 5 Left	0bff00
2162	Anterior visual area, layer 5 Right	0bff00
2171	Anterior visual area, layer 6a Left	09ff00
2172	Anterior visual area, layer 6a Right	09ff00
2181	Anterior visual area, layer 6b Left	06ff00
2182	Anterior visual area, layer 6b Right	06ff00
2191	Rostrolateral visual area, layer 1 Left	04ff00
2192	Rostrolateral visual area, layer 1 Right	04ff00
2201	Rostrolateral visual area, layer 2/3 Left	02ff00
2202	Rostrolateral visual area, layer 2/3 Right	02ff00
2211	Rostrolateral visual area, layer 4 Left	00ff01
2212	Rostrolateral visual area, layer 4 Right	00ff01
2221	Rostrolateral visual area, layer 5 Left	00ff03
2222	Rostrolateral visual area, layer 5 Right	00ff03
2231	Rostrolateral visual area, layer 6a Left	00ff05
2232	Rostrolateral visual area, layer 6a Right	00ff05
2241	Rostrolateral visual area, layer 6b Left	00ff08
2242	Rostrolateral visual area, layer 6b Right	00ff08
2251	Temporal association areas, layer 1 Left	00ff0a
2252	Temporal association areas, layer 1 Right	00ff0a
2261	Temporal association areas, layer 2/3 Left	00ff0c
2262	Temporal association areas, layer 2/3 Right	00ff0c
2271	Temporal association areas, layer 4 Left	00ff0f
2272	Temporal association areas, layer 4 Right	00ff0f
2281	Temporal association areas, layer 5 Left	00ff11
2282	Temporal association areas, layer 5 Right	00ff11
2291	Temporal association areas, layer 6a Left	00ff13
2292	Temporal association areas, layer 6a Right	00ff13
2301	Temporal association areas, layer 6b Left	00ff16
2302	Temporal association areas, layer 6b Right	00ff16
2311	Perirhinal area, layer 1 Left	00ff18
2312	Perirhinal area, layer 1 Right	00ff18
2321	Perirhinal area, layer 2/3 Left	00ff1a
2322	Perirhinal area, layer 2/3 Right	00ff1a
2331	Perirhinal area, layer 5 Left	00ff1d
2332	Perirhinal area, layer 5 Right	00ff1d
2341	Perirhinal area, layer 6a Left	00ff1f
2342	Perirhinal area, layer 6a Right	00ff1f
2351	Perirhinal area, layer 6b Left	00ff21
2352	Perirhinal area, layer 6b Right	00ff21
2361	Ectorhinal area/Layer 1 Left	00ff24
